AGENCY,iname,label,AWDNBR,YEAR,OFFICE,SOLNBR,LOCATION,NTYPE,DATE
Millennium Challenge Corporation,b6795fcb-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,MCC,MCC-17-RFQ-0107,Washington DC,SNOTE,0726
Department of the Navy,b679603c-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Naval Sea Systems Command,N0025317Q0253,NUWC Keyport Division,COMBINE  ,0803
Department of the Navy,b6796059-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Naval Supply Systems Command,SPRMM117QHA58,NAVSUP Weapon Systems Support Mechanicsburg PA,PRESOL,0719
Department of the Navy,b679604d-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,N00406-17-P-2509,17,Naval Supply Systems Command,N0040617Q0010,NAVSUP Fleet Logistics Center Puget Sound,AWARD,0810
Defense Logistics Agency,b6795f39-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE7LX17X0028,DLA Land and Maritime - BSM,COMBINE  ,0719
Department of the Navy,b6796070-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Naval Supply Systems Command,SPRMM117QHB49,NAVSUP Weapon Systems Support Mechanicsburg PA,PRESOL,0731
Defense Logistics Agency,b635f9d5-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE4A017Q0254,DLA Aviation - BSM,COMBINE  ,0719
Department of the Army,b635f97e-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPRRA117D02050001,17,Defense Logistics Agency Detachment,null,DLA Aviation and Missile Command (Aviation),AWARD,0810
Department of the Interior,b6795f98-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Fish and Wildlife Service,F17PS00930,CGS-WO,PRESOL,0721
Department of the Army,b67960db-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,U.S. Army Corps of Engineers,W91278-17-R-0040,"USACE District, Mobile",COMBINE  ,0621
Department of Health and Human Services,b6795ffb-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,National Institutes of Health,RFQ-RML-E-1865508,National Institute of Allergy  Infectious Diseases/AMOB,COMBINE  ,0816
Department of Health and Human Services,b6795ff8-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,National Institutes of Health,NICHD-17-194,"Natl Institute of Diabetes, Digestive,  Kidney Diseases",COMBINE  ,0820
Department of Agriculture,b635f8bd-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Agricultural Research Service,AG-3JL0-S-17-0009,Northeast Area,COMBINE  ,0801
Defense Logistics Agency,b6795f45-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE7MC17TQ472,DLA Land and Maritime - BSM,COMBINE  ,0710
Department of the Navy,b6796021-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Naval Education and Training Command,N6227117Q1228,Naval Post Graduate School,COMBINE  ,0802
General Services Administration,b6795f8e-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Federal Acquisition Service (FAS),QSDM-A0-173020-N,IFMPS,SRCSGT,0803
Department of Veterans Affairs,b679608c-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Network Contracting Office 4,VA24417Q1233,Veterans Integrated Service Network 4 Facilities,PRESOL,0629
Department of the Air Force,b635f8c2-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,FA481917P3055-02,17,Air Combat Command,FA481917Q3055,325 CONS,AWARD,0816
Department of the Navy,b6796014-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Naval Air Systems Command,N6833517R0328,Naval Air Warfare Center Aircraft Division Lakehurst,PRESOL,0629
Department of Veterans Affairs,b679608e-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,VA244-17-C-0202,17,Network Contracting Office 4,VA24417R0401,Veterans Integrated Service Network 4 Facilities,AWARD,0626
Defense Logistics Agency,b6795f60-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPE7MC17P5713,17,DLA Acquisition Locations,SPE7MC17TA384,DLA Land and Maritime - BSM,AWARD,0810
Department of the Treasury,b6795fbd-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Internal Revenue Service (IRS),D7D923DER2C,Field Operations Branch Southeast (OS:A:P:B:S),COMBINE  ,0726
Defense Logistics Agency,b6795f2e-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE7MX17R0052,DLA Land and Maritime,PRESOL,0426
Department of the Air Force,b635f8cb-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Air Education and Training Command,FA3016-17-U-0221,502d Contracting Squadron - RND,COMBINE  ,0720
Department of the Navy,b6795fcf-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Military Sealift Command,N4044317T0430,MSC SSU San Diego (N40443),SNOTE,0810
Department of the Navy,b6796041-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Naval Supply Systems Command,N6883617Q0129,NAVSUP Fleet Logistics Center Jacksonville,PRESOL,0616
Department of Commerce,b6795fff-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,National Oceanic and Atmospheric Administration (NOAA),RFQ_NMFS_AKR_17_0724,National Marine Fisheries Service,COMBINE  ,0724
General Services Administration,b6795f8d-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Federal Acquisition Service (FAS),000000010429,GSA Reverse Auction Platform (4QTF),COMBINE  ,0726
Department of Justice,b635f957-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Bureau of Prisons,DJBP0202S4V300001,FCI Fort Dix,JA,0821
Defense Logistics Agency,b6795f29-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPMYM417Q0510,DLA Land and Maritime,COMBINE  ,0804
Department of the Air Force,b635f8e4-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Air Force Materiel Command,SPRTA1-16-R-0428,PK/PZ Tinker AFB,JA,0728
Defense Logistics Agency,b6795f4d-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPE7M017P4777,17,DLA Acquisition Locations,null,DLA Land and Maritime - BSM,AWARD,0810
Department of the Interior,b6796002-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,P12PC40866/P17PD02341,17,National Park Service,null,NPS - All Offices,AWARD,0810
Agency for International Development,b6796134-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Washington D.C.,SOL-OTI-17-000050,USAID/Washington,COMBINE  ,0726
Department of Veterans Affairs,b6795fda-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Nashville VAMC,VA24917B0333,Department of Veterans Affairs Medical Center,PRESOL,0227
Other Defense Agencies,b635f988-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,HQ0516-17-P-0061,17,Defense Media Activity,HQ0516-17-R-0039,DMA Acquisition and Procurement MD,AWARD,0816
Defense Logistics Agency,b6795f47-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPE4A113G0007U31A,17,DLA Acquisition Locations,SPE7M117T2709,DLA Land and Maritime - BSM,AWARD,0810
Defense Logistics Agency,b6795f66-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE8EZ17Q0030,DLA Troop Support - Construction  Equipment,PRESOL,0801
Department of the Army,b6795feb-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,National Guard Bureau,W912L1-17-T-0176,USPFO for Texas,COMBINE  ,0801
Department of the Army,b6795fe2-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,National Guard Bureau,W91SMC-17-R-9001,USPFO for Illinois,SRCSGT,0803
Defense Logistics Agency,b6795f63-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPE1C117P1432,17,DLA Acquisition Locations,SPE1C117Q0370,DLA Troop Support - Clothing  Textiles - BSM,AWARD,0810
Defense Logistics Agency,b6795f2c-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,CL17200002_MARKET_RESEARCH_PROJECT,DLA Land and Maritime,SRCSGT,0803
Defense Logistics Agency,b635f9a6-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE4A717R0502,DLA Aviation - BSM,JA,0801
Defense Logistics Agency,b6795f71-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPE8EN17P0946,17,DLA Acquisition Locations,SPE8EN17Q0255,DLA Troop Support - Construction  Equipment - BSM,AWARD,0810
Department of Labor,b67960a3-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Office of the Assistant Secretary for Administration and Management ,1636-OAA-17-NAT-0043 ,Office of Procurement Services,COMBINE  ,0803
Department of the Navy,b679604f-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Naval Supply Systems Command,SPRMM117QWE87,NAVSUP Weapon Systems Support Mechanicsburg PA,SRCSGT,0727
Department of the Air Force,b635f8c6-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Air Combat Command,FA4861-17-Q-C071,99 CONS,COMBINE  ,0806
Department of the Navy,b6796025-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,N40084-17-P-4019,17,Naval Facilities Engineering Command,N4008417T4019,"NAVFAC FAR EAST, FEAD CHINHAE",AWARD,0814
Department of the Air Force,b67960af-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Pacific Air Forces,FA5000-17-T-0148,673 CONS - Elmendorf,COMBINE  ,0727
Department of the Navy,b679606a-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,N0010417CNA02,17,Naval Supply Systems Command,N0010416RNB99,NAVSUP Weapon Systems Support Mechanicsburg PA,AWARD,0726
General Services Administration,b67960bf-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Public Buildings Service (PBS),5MT0106,R8 Rocky Mtn Region Acquisition Division (47PJ00),SRCSGT,0720
Defense Logistics Agency,b635f9c7-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPE4A617PK181,17,DLA Acquisition Locations,SPE4A617TK015,DLA Aviation - BSM,AWARD,0810
Department of the Air Force,b635f8ca-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Air Education and Training Command,FA3016-17-U-0202,502d Contracting Squadron,COMBINE  ,0707
Department of the Navy,b6796060-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Naval Supply Systems Command,SPRMM117QHB41,NAVSUP Weapon Systems Support Mechanicsburg PA,PRESOL,0731
Department of the Army,b635f906-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Army Contracting Command,W911QX-17-T-0227,ACC - APG (W911QX) Adelphi ,COMBINE  ,0804
Department of Justice,b6795f8f-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Federal Bureau of Investigation,RFQ-0004064,Procurement Section,COMBINE  ,0802
Department of the Air Force,b635f8eb-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Air Force Space Command,FA2521-17-Q-A010,45CONS (Bldg 423),COMBINE  ,0721
Department of the Army,b635f935-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,"Army Contracting Command, MICC",W911SD-17-T-0406,MICC - West Point,SNOTE,0808
Defense Logistics Agency,b635f9bd-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPE4A917Z0499,17,DLA Acquisition Locations,null,DLA Aviation - BSM,AWARD,0810
Defense Logistics Agency,b6795f31-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPMYM417Q0521,DLA Land and Maritime,COMBINE  ,0804
Department of Health and Human Services,b6795ff5-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,National Institutes of Health,NICHD-17-130,"Natl Institute of Diabetes, Digestive,  Kidney Diseases",SRCSGT,0804
Department of the Army,b6795fe3-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,National Guard Bureau,W912LM-17-B-0001,USPFO for Minnesota,PRESOL,0215
Defense Logistics Agency,b6795f41-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPE7L317P7714,17,DLA Acquisition Locations,SPE7L217Q0074,DLA Land and Maritime - BSM,AWARD,0810
Department of the Navy,b6796054-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Naval Supply Systems Command,N0010417QFH15,NAVSUP Weapon Systems Support Mechanicsburg PA,PRESOL,0724
Department of Veterans Affairs,b679612e-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,VA Technology Acquisition Center,VA11817N2131,VA Technology Acquisition Center,SRCSGT,0518
Department of Veterans Affairs,b6796132-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,VBA Office of Acquisition,VA101V17Q0224,Department of Veterans Affairs Washington Regional Office,PRESOL,0515
Department of the Air Force,b635f8e1-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Air Force Materiel Command,FA2823-17-Q-6075,AFTC/PZIO - Eglin,SNOTE,0809
Department of Veterans Affairs,b6796113-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,VA69D-17-C-0215,17,VA Great Lakes Healthcare System,VA69D17B0788,Department of Veterans Affairs Great Lakes Healthcare System,AWARD,0803
Department of the Navy,b6796073-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPRMM117CYB69,17,Naval Supply Systems Command,SPRMM117RYS13,NAVSUP Weapon Systems Support Mechanicsburg PA,AWARD,0726
Department of Agriculture,b6795fab-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Forest Service,AG-9JGP-S-17-0042,"R-5, Central CA Acquisitions Service Area, Tahoe N.F.",PRESOL,0428
Department of the Army,b67960da-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,W912QR17D0037,17,U.S. Army Corps of Engineers,W912QR-17-R-0018,"USACE District, Louisville",AWARD,0810
Department of the Interior,b635f944-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Bureau of Indian Affairs,A17PS00707,BIA - DAPM,PRESOL,0720
Department of Veterans Affairs,b6796123-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,VA Northern California Health Care System,VA26117N0980,Department of Veterans Affairs No. California Health Care System System,SRCSGT,0815
Defense Logistics Agency,b6795f4f-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPE7L117P4261,17,DLA Acquisition Locations,SPE7L317TL057,DLA Land and Maritime - BSM,AWARD,0810
Department of the Navy,b679606d-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Naval Supply Systems Command,SPRMM117QWP59,NAVSUP Weapon Systems Support Mechanicsburg PA,PRESOL,0720
Defense Logistics Agency,b635f9d6-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPE4A117G00110864,17,DLA Acquisition Locations,null,DLA Aviation - BSM,AWARD,0810
Department of the Interior,b635f95e-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,R17PA00012/R17PB00174,17,Bureau of Reclamation,null,BOR - All Offices,AWARD,0810
Department of the Interior,b635f949-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Bureau of Land Management,L17PS00475,Colorado Region,SNOTE,0811
General Services Administration,b67960bc-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,47PL0117C0009,17,Public Buildings Service (PBS),EQ10PCB-1-17-0041,R10 Northern Service Center (47PL07),AWARD,0810
Department of the Navy,b679602d-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Naval Sea Systems Command,N50054-17-R-0014,Mid-Atlantic Regional Maintenance Center - N50054,COMBINE  ,0726
Department of the Army,b635f902-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Army Contracting Command,W25G1V17T0372,ACC - APG (W25G1V) Tobyhanna,COMBINE  ,0713
Defense Logistics Agency,b6795f35-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE7MX17R0075,DLA Land and Maritime - BSM,PRESOL,0419
Other Defense Agencies,b6795fd0-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Missile Defense Agency,MDA17DTSSN04,MDA-DAC,SRCSGT,0712
Department of the Air Force,b635f8e2-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Air Force Materiel Command,F1SEAD7227BG01,HQ Air Force Test Center (AFTC) - Edwards,SRCSGT,0822
Department of the Army,b635f908-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Army Contracting Command,0011052358,ACC - APG (W911QY) Natick (SPS),SNOTE,0801
Department of the Air Force,b635f8c3-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,FA481917P3055,17,Air Combat Command,FA481917P3055,325 CONS,AWARD,0810
Defense Logistics Agency,b6795f4a-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPE7L317P7676,17,DLA Acquisition Locations,SPE7L317TL159,DLA Land and Maritime - BSM,AWARD,0810
Department of the Interior,b6796008-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,National Park Service,P17PS01772,NPS - All Offices,PRESOL,0622
Defense Information Systems Agency,b67960b4-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Procurement Directorate,DHQCSD18MPC0036,DITCO-Scott,SRCSGT,0726
Department of Homeland Security,b67960fb-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,United States Coast Guard (USCG),HSCG40-17-Q-40565,USCG Surface Forces Logistics Center (SFLC) ,COMBINE  ,0727
Department of the Army,b635f92f-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,W9124N-17-C-0004,17,"Army Contracting Command, MICC",W9124N-17-R-0103,MICC - Presidio of Monterey (RC - West),AWARD,0815
Department of the Navy,b6796083-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Naval Supply Systems Command,N0038317RP501,NAVSUP Weapon Systems Support Philadelphia PA,PRESOL,0726
Department of Justice,b635f95b-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Bureau of Prisons,TRX40006,U.S. Medical Center for Federal Prisoners,SRCSGT,0802
Defense Logistics Agency,b6795f77-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE5EC16R0009,DLA Troop Support - Industrial Hardware,COMBINE  ,0425
Defense Logistics Agency,b6795f49-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPE7M117P7628,17,DLA Acquisition Locations,SPE7M917T5938,DLA Land and Maritime - BSM,AWARD,0810
Department of the Air Force,b635f8ee-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Air Force Space Command,FA2521-17-Q-B254,45CONS (Bldg 423),SRCSGT,0803
Defense Logistics Agency,b6795f2a-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,CM17213001_MARKET_RESEARCH_PROJECT,DLA Land and Maritime,SRCSGT,0803
Department of the Navy,b679609f-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Office of Naval Research,N00173-17-R-ST06A,Naval Research Laboratory,COMBINE  ,0726
Defense Logistics Agency,b6795f61-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPE7MX15D00080030,17,DLA Acquisition Locations,null,DLA Land and Maritime - BSM,AWARD,0810
Defense Logistics Agency,b635f9ac-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE4A717R1283,DLA Aviation - BSM,PRESOL,0726
Department of the Army,b635f926-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,"Army Contracting Command, ECC",F3J6AF7179A004,411TH CSB (W91QVN) RCC YONGSAN,SRCSGT,0809
Department of Agriculture,b6795fa4-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Forest Service,AG-82MK-S-17-0021,R-2 Rocky Mountain Region,COMBINE  ,0630
Defense Logistics Agency,b635f9a4-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE4A517TDM95,DLA Aviation - BSM,COMBINE  ,0718
Department of the Navy,b6796050-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,N0010417CFA61,17,Naval Supply Systems Command,N0010416RFF72,NAVSUP Weapon Systems Support Mechanicsburg PA,AWARD,0726
Department of Transportation,b6795f96-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Federal Railroad Administration (FRA),FR17RPD31000000026,Office of Acquisition and Grants Services,PRESOL,0726
Department of Transportation,b6795fca-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Maritime Administration (MARAD),6933A217Q00022,SAR Acquisition,PRESOL,0801
Department of the Air Force,b635f8fd-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,AMIC DET 2,FA7022-17-R-0012,AMIC DET 2 OL/PKA,SNOTE,0726
Department of the Army,b6795fe5-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,National Guard Bureau,W912KN-17-T-0037,USPFO for New Jersey,COMBINE  ,0731
Department of the Army,b67960df-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,U.S. Army Corps of Engineers,W912BU-17-PEDESTAL_MARINE_CRANE,"USACE District, Philadelphia",SRCSGT,0719
Department of Veterans Affairs,b6796131-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,VA Western New York Health Care System,VA24217B0321,Department of Veterans Affairs Western New York Health Care System,PRESOL,0518
Department of the Navy,b6796039-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Naval Sea Systems Command,N63394-17-T-0135,NSWC Port Hueneme Division,COMBINE  ,0705
Department of the Interior,b6796005-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,National Park Service,P17PS02094,NPS - All Offices,SRCSGT,0725
Department of the Army,b635f932-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,"Army Contracting Command, MICC",W911Sd-17-T-0424,MICC - West Point,SRCSGT,0803
Department of Homeland Security,b67960fe-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,United States Coast Guard (USCG),HSCG40-17-Q-P30F94,USCG Surface Forces Logistics Center (SFLC) ,COMBINE  ,0721
Department of the Army,b635f91b-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Army Contracting Command,W58RGZ17R0254,ACC - RSA (W58RGZ) Aviation,SRCSGT,0731
Department of the Navy,b679602b-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Naval Facilities Engineering Command,N6945017T7236,"NAVFAC Southeast, ROICC Mayport",PRESOL,0821
Department of the Army,b6795fe7-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,National Guard Bureau,W901UZ052027,USPFO for North Dakota,COMBINE  ,0712
Department of the Army,b635f92c-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,"Army Contracting Command, MICC",W911RX-17-B-0007,MICC - Fort Riley,PRESOL,0524
Defense Logistics Agency,b6795f5b-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE7LX17X0027,DLA Land and Maritime - BSM,COMBINE  ,0719
Defense Information Systems Agency,b67960b8-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,HC101317PB057,17,Procurement Directorate,HC101317QA789,DITCO-Scott,AWARD,0810
Department of Veterans Affairs,b6796114-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,VA Gulf Coast Veterans Health Care System,VA25617Q1188,Department of Veterans Affairs Gulf Coast Veterans Health Care System,PRESOL,0731
Department of the Interior,b6795fbb-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Interior Business Center,D17PS00768,AQD - Washington D.C.,COMBINE  ,0801
Department of the Army,b67960de-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,16,U.S. Army Corps of Engineers,W9128F-16-T-0030,"USACE District, Omaha",PRESOL,0519
Department of Homeland Security,b635f977-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Customs and Border Protection,HSBP1017Q0094_Watkins,Procurement Directorate - IN,COMBINE  ,0725
Defense Logistics Agency,b6795f7d-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE8ES17T5467,DLA Troop Support - Medical - BSM,COMBINE  ,0720
Department of the Air Force,b67960ab-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Pacific Air Forces,FA520517QB041,35 CONS - Misawa,COMBINE  ,0612
Department of Energy,b6795f91-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Federal Locations,DE-SOL-0011551,All DOE Federal Contracting Offices,PRESOL,0719
Department of the Army,b635f90f-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Army Contracting Command,W15QKN-17-X-0ARM,ACC - NJ (W15QKN),PRESOL,0807
Defense Logistics Agency,b635f9c8-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE4A517TCT42,DLA Aviation - BSM,COMBINE  ,0705
